study_hours_per_week,attendance_percentage,previous_grade,assignments_completed_pct,sleep_hours,extracurricular_activities,parental_support,final_score
31.0,84.3,93.9,59.6,6.9,1,0,69.9
17.6,59.0,39.8,79.2,7.6,0,0,35.2
34.3,93.4,77.4,75.3,5.9,0,2,59.7
27.9,75.6,87.0,89.3,7.6,1,1,67.3
3.8,47.6,46.5,80.6,8.0,1,0,40.0
39.0,48.6,49.3,24.7,6.0,0,0,44.9
30.4,81.6,97.5,55.6,7.1,1,1,70.3
31.4,50.4,48.5,29.7,6.1,0,0,37.8
5.1,70.4,60.1,33.0,6.2,0,1,38.7
18.0,99.5,60.3,93.2,5.3,0,1,65.9
14.8,40.2,47.7,68.2,8.9,0,0,34.3
37.1,41.0,84.3,97.5,8.6,1,0,52.3
25.8,99.6,84.0,41.7,7.8,1,1,69.9
32.9,75.1,56.5,53.7,10.0,1,1,43.4
17.7,47.6,88.5,48.7,6.7,0,0,44.9
9.1,93.8,44.9,10.7,11.5,1,1,47.3
22.2,92.8,30.3,23.7,6.7,0,1,47.5
2.6,72.2,70.0,52.8,7.4,1,0,43.5
33.1,77.3,99.6,6.7,6.4,1,1,65.4
25.3,56.4,32.7,93.1,7.6,1,0,42.8
30.3,43.0,44.6,12.4,8.3,1,0,16.3
14.2,75.7,66.3,19.8,6.8,0,0,37.8
38.8,57.7,86.7,76.5,9.7,1,0,55.6
35.7,79.8,36.2,9.7,7.4,1,0,39.2
31.1,90.2,57.7,90.0,7.4,0,2,63.3
7.8,41.1,82.3,72.6,5.6,1,0,56.6
18.7,75.7,56.0,6.9,7.6,0,2,42.3
1.8,53.9,43.2,69.2,6.8,0,2,33.7
6.2,92.4,43.7,63.2,6.1,1,2,55.0
27.3,55.2,58.7,75.7,5.8,1,2,55.4
29.8,76.6,63.6,82.8,11.0,0,0,47.3
38.7,73.2,90.3,71.8,6.6,1,1,67.2
13.0,63.8,75.0,58.6,4.8,1,2,73.5
14.8,80.7,78.3,32.2,6.0,0,1,40.9
18.8,83.5,98.8,69.7,6.9,0,0,59.5
7.6,74.0,58.8,95.7,7.8,0,1,48.9
5.2,85.5,58.2,58.8,7.8,1,2,46.9
19.0,99.0,94.6,66.4,8.0,0,2,72.8
9.1,65.2,47.2,43.7,6.0,1,1,48.6
26.8,70.9,81.1,75.6,7.5,1,0,57.7
17.5,40.7,82.8,99.8,5.7,1,0,54.2
33.3,87.8,36.8,16.0,6.1,0,0,42.8
28.0,71.2,62.8,20.2,5.6,0,1,49.9
12.5,64.5,44.0,53.9,5.2,1,0,43.0
